step,x,y,theta,v
1.470000000000000000e+02,3.799454106246421503e+01,2.357613891117092209e+01,1.644778067856465631e+00,1.682231022864148606e+00
1.480000000000000000e+02,3.798131248413999828e+01,2.374088828864051948e+01,1.650346447177127418e+00,1.622088268279296974e+00
1.490000000000000000e+02,3.797282161680069379e+01,2.389855714051640234e+01,1.654767565963500164e+00,1.572292235197463084e+00
1.500000000000000000e+02,3.795589578898761118e+01,2.405714208310726221e+01,1.660314430325645629e+00,1.598248150694826286e+00
1.510000000000000000e+02,3.794449467940742693e+01,2.420926579370212650e+01,1.665529270377072990e+00,1.547092230415463288e+00
1.520000000000000000e+02,3.792958452530446323e+01,2.435762810039175008e+01,1.671475219261538525e+00,1.592482506866083281e+00
1.530000000000000000e+02,3.791809457732031063e+01,2.449407924419933735e+01,1.675317872400184704e+00,1.577092945832870630e+00
1.540000000000000000e+02,3.789331111266545093e+01,2.466492069263705389e+01,1.681178017508625944e+00,1.617034860967196286e+00
1.550000000000000000e+02,3.787907603514863553e+01,2.482126691767509641e+01,1.686522443779815639e+00,1.583134018603467918e+00
1.560000000000000000e+02,3.786082558041118062e+01,2.497182896135673502e+01,1.692435364907579398e+00,1.522464103413490699e+00
1.570000000000000000e+02,3.784213174277078195e+01,2.512786125366161016e+01,1.697433767053313503e+00,1.580905675792137144e+00
1.580000000000000000e+02,3.782257906234893596e+01,2.528127256971651704e+01,1.703062102802089361e+00,1.562070122939034134e+00
1.590000000000000000e+02,3.780322920977354073e+01,2.543050658374659534e+01,1.708358950764587547e+00,1.532916984463061238e+00
1.600000000000000000e+02,3.777567021974669359e+01,2.558467481023704693e+01,1.714802780979169938e+00,1.556161489566786793e+00
1.610000000000000000e+02,3.775389634338267797e+01,2.573998147724128316e+01,1.720307227791604276e+00,1.541841306798375832e+00
1.620000000000000000e+02,3.773221699018278485e+01,2.589062740486950887e+01,1.726295916711350520e+00,1.536673533877312758e+00
1.630000000000000000e+02,3.770611324808491815e+01,2.604361037729658790e+01,1.732376794433335032e+00,1.540881852651592387e+00
1.640000000000000000e+02,3.768094072991148380e+01,2.619070918246514168e+01,1.738655001480083229e+00,1.500831737872285521e+00
1.650000000000000000e+02,3.765645003252872414e+01,2.633643788194763502e+01,1.744315788824147839e+00,1.484899023149791830e+00
1.660000000000000000e+02,3.763150574715148622e+01,2.648180051813740477e+01,1.750360866492274070e+00,1.482383963819757566e+00
1.670000000000000000e+02,3.760508545790355583e+01,2.662666229971886978e+01,1.756738923756250736e+00,1.472777936223533368e+00
1.680000000000000000e+02,3.757836623048158486e+01,2.677245240716465702e+01,1.763459390307906771e+00,1.492406837102174588e+00
1.690000000000000000e+02,3.755134994946582339e+01,2.691127737595335034e+01,1.769770112156783481e+00,1.422260169677215913e+00
1.700000000000000000e+02,3.752273925716387737e+01,2.705353436018846125e+01,1.776427830744346403e+00,1.458910335549300719e+00
1.710000000000000000e+02,3.749335148414444774e+01,2.719320912616182184e+01,1.782870956084820158e+00,1.434553425092032652e+00
1.720000000000000000e+02,3.746331545146718867e+01,2.733257642198913473e+01,1.789259660591302259e+00,1.433086088785023415e+00
1.730000000000000000e+02,3.743186969346947990e+01,2.747343143767383822e+01,1.795873236348596969e+00,1.450474669819404427e+00
1.740000000000000000e+02,3.740110099942813093e+01,2.760772594346268960e+01,1.802346286355047900e+00,1.384104581795974509e+00
1.750000000000000000e+02,3.736565843418797783e+01,2.774380929080379232e+01,1.810419106870393646e+00,1.401197498750490267e+00
1.760000000000000000e+02,3.733301910106067112e+01,2.787731728785201568e+01,1.816795718118611846e+00,1.381789318675782807e+00
1.770000000000000000e+02,3.729926202423094850e+01,2.801199571426785084e+01,1.823810181018510557e+00,1.395608053180835917e+00
1.780000000000000000e+02,3.726452398039899094e+01,2.814717195045568587e+01,1.830873544380198670e+00,1.402735110850380273e+00
1.790000000000000000e+02,3.722954605320027355e+01,2.827945389421171285e+01,1.837879880103107544e+00,1.375261798733684593e+00
1.800000000000000000e+02,3.719402598576936469e+01,2.840953636346572608e+01,1.845764632785859893e+00,1.355422245150534444e+00
1.810000000000000000e+02,3.715915607397137421e+01,2.853284820002314959e+01,1.853318851431671188e+00,1.287840133904028184e+00
1.820000000000000000e+02,3.712149028611528223e+01,2.866274424364417328e+01,1.860799590028777928e+00,1.359687236091442930e+00
1.830000000000000000e+02,3.708424923116265148e+01,2.878806052632220158e+01,1.868742491282995966e+00,1.314308053241744156e+00
1.840000000000000000e+02,3.704733835975694944e+01,2.890851149330830694e+01,1.876555168846653965e+00,1.266085755870399510e+00
1.850000000000000000e+02,3.700792620432040536e+01,2.903271455987183103e+01,1.884335085787561814e+00,1.310053100092783973e+00
1.860000000000000000e+02,3.696840097988586393e+01,2.915564569485692914e+01,1.892715308299024679e+00,1.298088535312257097e+00
1.870000000000000000e+02,3.692793282950147926e+01,2.927560667437892761e+01,1.901192478817612885e+00,1.272704426355500962e+00
1.880000000000000000e+02,3.688581349705897594e+01,2.939776060020365023e+01,1.909199116923646855e+00,1.299199035740717711e+00
1.890000000000000000e+02,3.684465954168928192e+01,2.951493751204389326e+01,1.917576679520798910e+00,1.248611912379333555e+00
1.900000000000000000e+02,3.680264073032590488e+01,2.963132781383043479e+01,1.926150583211097667e+00,1.244312152936862814e+00
1.910000000000000000e+02,3.676120991586641651e+01,2.974409465893014470e+01,1.935055305538728732e+00,1.207617621529682994e+00
1.920000000000000000e+02,3.671689991585408563e+01,2.986023388391915034e+01,1.944324938484444321e+00,1.250199650239736338e+00
1.930000000000000000e+02,3.667369411327130990e+01,2.997052249019321124e+01,1.954198899150790814e+00,1.190896237915530120e+00
1.940000000000000000e+02,3.663065133776266435e+01,3.007711486100152243e+01,1.963369163954325591e+00,1.156101272016084813e+00
1.950000000000000000e+02,3.658558465652561864e+01,3.018537407978917031e+01,1.973127911422028813e+00,1.179312551487412986e+00
1.960000000000000000e+02,3.653943156652409385e+01,3.029428488020230148e+01,1.983123991807067110e+00,1.189455122145985699e+00
1.970000000000000000e+02,3.649455673281058665e+01,3.039780755447560168e+01,1.993650597639668565e+00,1.134609615619469603e+00
1.980000000000000000e+02,3.644994646260479954e+01,3.049748831448330222e+01,2.004292910436277442e+00,1.098241617137764692e+00
1.990000000000000000e+02,3.640460967946736304e+01,3.059506319515837447e+01,2.014973104372779655e+00,1.081933032857891108e+00
2.000000000000000000e+02,3.635910854508697554e+01,3.069023782522307542e+01,2.026244657737645838e+00,1.061146682733829616e+00
2.010000000000000000e+02,3.631101333052605185e+01,3.078869307310722547e+01,2.036636382504045883e+00,1.102004759973242543e+00
2.020000000000000000e+02,3.626305965642863072e+01,3.088393527448956988e+01,2.048398550784702454e+00,1.072438670899810154e+00
2.030000000000000000e+02,3.621575108706790758e+01,3.097579577472632195e+01,2.060602082847139194e+00,1.039301951230745535e+00
2.040000000000000000e+02,3.616505268353476055e+01,3.107091773443177374e+01,2.072696644779499220e+00,1.084282097629107211e+00
2.050000000000000000e+02,3.611490106318472471e+01,3.116204170671217710e+01,2.085181726700762628e+00,1.046202777243745219e+00
2.060000000000000000e+02,3.606391972161356563e+01,3.125266919829559242e+01,2.098510324072460964e+00,1.046278215948035939e+00
2.070000000000000000e+02,3.601398824629186635e+01,3.133862783125876206e+01,2.111766246177221973e+00,1.000396575182778358e+00
2.080000000000000000e+02,3.596303009949712504e+01,3.142387872701149831e+01,2.125400310136304149e+00,9.993374543092400364e-01
2.090000000000000000e+02,3.591214227324389441e+01,3.150644116537748829e+01,2.139222772088656743e+00,9.754207809835669929e-01
2.100000000000000000e+02,3.586048504354999267e+01,3.158777056036517195e+01,2.153283303906619484e+00,9.692356294353465795e-01
2.110000000000000000e+02,3.580865463639743496e+01,3.166676969796802865e+01,2.167429400616163182e+00,9.507883476103818898e-01
2.120000000000000000e+02,3.575667556228830790e+01,3.174245896981625847e+01,2.182134803653748900e+00,9.239463582398014241e-01
