step,x,y,theta,v
8.000000000000000000e+01,3.760448592266968149e+01,1.309703318935870620e+01,1.332671543255174784e+00,1.439843760071707335e+00
8.100000000000000000e+01,3.763867558541344494e+01,1.323788783954974413e+01,1.338927625867576188e+00,1.449446981402618517e+00
8.200000000000000000e+01,3.767220012637218929e+01,1.337987156575542436e+01,1.345104066505234508e+00,1.458878793928545914e+00
8.300000000000000000e+01,3.770505425163226931e+01,1.352296194709945709e+01,1.351203828076126934e+00,1.468136600585441487e+00
8.400000000000000000e+01,3.773723277314645230e+01,1.366713638795186725e+01,1.357229775358723467e+00,1.477217879730119865e+00
8.500000000000000000e+01,3.776873060955316674e+01,1.381237212149712335e+01,1.363184679589691806e+00,1.486120183455322818e+00
8.600000000000000000e+01,3.779954278697890402e+01,1.395864621332927058e+01,1.369071222847193736e+00,1.494841136008584037e+00
8.700000000000000000e+01,3.782966443982366656e+01,1.410593556507354762e+01,1.374892002240603928e+00,1.503378432310035429e+00
8.800000000000000000e+01,3.785909081152928479e+01,1.425421691803388313e+01,1.380649533915175420e+00,1.511729836561570561e+00
8.900000000000000000e+01,3.788781725533054612e+01,1.440346685686570716e+01,1.386346256881186401e+00,1.519893180942996080e+00
9.000000000000000000e+01,3.791583923498897235e+01,1.455366181327352315e+01,1.391984536676108108e+00,1.527866364389334874e+00
9.100000000000000000e+01,3.794315232550913208e+01,1.470477806973259582e+01,1.397566668868371886e+00,1.535647351443891084e+00
9.200000000000000000e+01,3.796975221383740262e+01,1.485679176323423789e+01,1.403094882410530930e+00,1.543234171183613501e+00
9.300000000000000000e+01,3.799563469954306782e+01,1.500967888905404202e+01,1.408571342849765928e+00,1.550624916211021498e+00
9.400000000000000000e+01,3.802079569548159554e+01,1.516341530454252684e+01,1.413998155403228596e+00,1.557817741710071369e+00
9.500000000000000000e+01,3.804523122844004490e+01,1.531797673293750606e+01,1.419377367904946619e+00,1.564810864560311154e+00
9.600000000000000000e+01,3.806893743976450395e+01,1.547333876719771162e+01,1.424710973631543309e+00,1.571602562508377376e+00
9.700000000000000000e+01,3.809191058596938717e+01,1.562947687385691609e+01,1.430000914012934610e+00,1.578191173390348201e+00
9.800000000000000000e+01,3.811414703932859993e+01,1.578636639689807275e+01,1.435249081234509339e+00,1.584575094404736761e+00
9.900000000000000000e+01,3.813564328844838514e+01,1.594398256164676297e+01,1.440457320736522773e+00,1.590752781431035379e+00
1.000000000000000000e+02,3.815639593882180947e+01,1.610230047868343917e+01,1.445627433616395452e+00,1.596722748392897406e+00
1.010000000000000000e+02,3.817640171336481103e+01,1.626129514777370844e+01,1.450761178939662388e+00,1.602483566661128345e+00
1.020000000000000000e+02,3.819565745293366632e+01,1.642094146181620928e+01,1.455860275964247164e+00,1.608033864497294241e+00
1.030000000000000000e+02,3.821416011682389069e+01,1.658121421080727131e+01,1.460926406283748813e+00,1.613372326531807177e+00
1.040000000000000000e+02,3.823190678325035918e+01,1.674208808582189079e+01,1.465961215893683223e+00,1.618497693278299066e+00
1.050000000000000000e+02,3.824889464980871878e+01,1.690353768301028481e+01,1.470966317185931294e+00,1.623408760679198481e+00
1.060000000000000000e+02,3.826512103391790731e+01,1.706553750760948063e+01,1.475943290875439073e+00,1.628104379682985270e+00
1.070000000000000000e+02,3.828058337324377192e+01,1.722806197796921523e+01,1.480893687863374497e+00,1.632583455849658360e+00
1.080000000000000000e+02,3.829527922610368762e+01,1.739108542959157333e+01,1.485819031040725990e+00,1.636844948984115700e+00
1.090000000000000000e+02,3.830920627185213334e+01,1.755458211918371703e+01,1.490720817036487622e+00,1.640887872795355973e+00
1.100000000000000000e+02,3.832236231124713299e+01,1.771852622872303940e+01,1.495600517913557637e+00,1.644711294580413874e+00
1.110000000000000000e+02,3.833474526679756167e+01,1.788289186953414855e+01,1.500459582816650039e+00,1.648314334931612724e+00
1.120000000000000000e+02,3.834635318309118901e+01,1.804765308637697174e+01,1.505299439574893983e+00,1.651696167465668941e+00
1.130000000000000000e+02,3.835718422710346687e+01,1.821278386154540385e+01,1.510121496263103102e+00,1.654856018574506926e+00
1.140000000000000000e+02,3.836723668848699020e+01,1.837825811897577921e+01,1.514927142724401987e+00,1.657793167195502848e+00
1.150000000000000000e+02,3.837650897984156728e+01,1.854404972836461596e+01,1.519717752057522686e+00,1.660506944601712886e+00
1.160000000000000000e+02,3.838499963696491335e+01,1.871013250929487270e+01,1.524494682071918072e+00,1.662996734209476468e+00
1.170000000000000000e+02,3.839270731908383993e+01,1.887648023537014907e+01,1.529259276713130999e+00,1.665261971404563113e+00
1.180000000000000000e+02,3.839963080906598947e+01,1.904306663835613023e+01,1.534012867461767238e+00,1.667302143384358892e+00
1.190000000000000000e+02,3.840576901361202999e+01,1.920986541232866429e+01,1.538756774708487596e+00,1.669116789017174529e+00
1.200000000000000000e+02,3.841112096342831705e+01,1.937685021782773731e+01,1.543492309107775684e+00,1.670705498716014370e+00
1.210000000000000000e+02,3.841568581337993038e+01,1.954399468601681633e+01,1.548220772913319498e+00,1.672067914329152361e+00
1.220000000000000000e+02,3.841946284262413513e+01,1.971127242284677550e+01,1.552943461297010108e+00,1.673203729043899468e+00
1.230000000000000000e+02,3.842245145472423928e+01,1.987865701322381895e+01,1.557661663655026230e+00,1.674112687305604030e+00
1.240000000000000000e+02,3.842465117774374050e+01,2.004612202518074682e+01,1.562376664902435985e+00,1.674794584750524340e+00
1.250000000000000000e+02,3.842606166432088344e+01,2.021364101405085378e+01,1.567089746759677160e+00,1.675249268152278370e+00
1.260000000000000000e+02,3.842668269172347806e+01,2.038118752664385624e+01,1.571802189032757147e+00,1.675476635382061819e+00
1.270000000000000000e+02,3.842651416188409996e+01,2.054873510542315529e+01,1.576515270889998321e+00,1.675476635382061819e+00
1.280000000000000000e+02,3.842555610141556599e+01,2.071625729268378535e+01,1.581230272137408077e+00,1.675249268152278370e+00
1.290000000000000000e+02,3.842380866160672781e+01,2.088372763473040195e+01,1.585948474495423755e+00,1.674794584750524340e+00
1.300000000000000000e+02,3.842127211839859058e+01,2.105111968605462280e+01,1.590671162879115252e+00,1.674112687305639557e+00
1.310000000000000000e+02,3.841794687234073535e+01,2.121840701351106162e+01,1.595399626684658179e+00,1.673203729043863941e+00
1.320000000000000000e+02,3.841383344852805237e+01,2.138556320049146819e+01,1.600135161083946711e+00,1.672067914329187666e+00
1.330000000000000000e+02,3.840893249651785624e+01,2.155256185109617562e+01,1.604879068330667513e+00,1.670705498716014370e+00
1.340000000000000000e+02,3.840324479022727644e+01,2.171937659430234646e+01,1.609632659079302419e+00,1.669116789017139002e+00
1.350000000000000000e+02,3.839677122781107244e+01,2.188598108812825060e+01,1.614397253720526892e+00,1.667302143384394419e+00
1.360000000000000000e+02,3.838951283151978799e+01,2.205234902379297068e+01,1.619174183734900963e+00,1.665261971404563779e+00
1.370000000000000000e+02,3.838147074753835142e+01,2.221845412987086732e+01,1.623964793068032320e+00,1.662996734209475580e+00
1.380000000000000000e+02,3.837264624580504346e+01,2.238427017644014327e+01,1.628770439529331204e+00,1.660506944601712886e+00
1.390000000000000000e+02,3.836304071981098218e+01,2.254977097922483864e+01,1.633592496217541656e+00,1.657793167195502848e+00
1.400000000000000000e+02,3.835265568638007494e+01,2.271493040372964956e+01,1.638432352975784267e+00,1.654856018574471399e+00
1.410000000000000000e+02,3.834149278542949446e+01,2.287972236936685988e+01,1.643291417878874894e+00,1.651696167465668941e+00
1.420000000000000000e+02,3.832955377971069311e+01,2.304412085357476769e+01,1.648171118755946685e+00,1.648314334931648251e+00
1.430000000000000000e+02,3.831684055453108328e+01,2.320809989592694222e+01,1.653072904751710093e+00,1.644711294580413874e+00
1.440000000000000000e+02,3.830335511745629162e+01,2.337163360223169661e+01,1.657998247929061586e+00,1.640887872795320446e+00
1.450000000000000000e+02,3.828909959799316454e+01,2.353469614862105885e+01,1.662948644916993013e+00,1.636844948984080172e+00
1.460000000000000000e+02,3.827407624725348256e+01,2.369726178562867958e+01,1.667925618606503013e+00,1.632583455849693888e+00
1.470000000000000000e+02,3.825828743759848294e+01,2.385930484225594483e+01,1.672930719898748420e+00,1.628104379682985270e+00
1.480000000000000000e+02,3.824173566226423304e+01,2.402079973002576097e+01,1.677965529508687714e+00,1.623408760679233787e+00
1.490000000000000000e+02,3.822442353496793999e+01,2.418172094702323349e+01,1.683031659828187143e+00,1.618497693278263760e+00
1.500000000000000000e+02,3.820635378949518923e+01,2.434204308192274269e+01,1.688130756852771919e+00,1.613372326531807177e+00
1.510000000000000000e+02,3.818752927926826146e+01,2.450174081800067682e+01,1.693264502176036190e+00,1.608033864497294241e+00
1.520000000000000000e+02,3.816795297689554189e+01,2.466078893713322984e+01,1.698434615055914199e+00,1.602483566661163650e+00
1.530000000000000000e+02,3.814762797370211445e+01,2.481916232377864873e+01,1.703642854557924968e+00,1.596722748392862101e+00
1.540000000000000000e+02,3.812655747924159755e+01,2.497683596894325575e+01,1.708891021779499697e+00,1.590752781431035379e+00
1.550000000000000000e+02,3.810474482078932112e+01,2.513378497413068047e+01,1.714180962160902100e+00,1.584575094404736761e+00
1.560000000000000000e+02,3.808219344281691576e+01,2.528998455527358047e+01,1.719514567887474810e+00,1.578191173390350865e+00
1.570000000000000000e+02,3.805890690644838514e+01,2.544541004664737827e+01,1.724893780389203934e+00,1.571602562508392031e+00
1.580000000000000000e+02,3.803488888889776831e+01,2.560003690476523275e+01,1.730320592942671931e+00,1.564810864560328918e+00
1.590000000000000000e+02,3.801014318288846283e+01,2.575384071225375493e+01,1.735797053381912702e+00,1.557817741710036064e+00
1.600000000000000000e+02,3.798467369605431543e+01,2.590679718170879298e+01,1.741325266924051318e+00,1.550624916211042148e+00
1.610000000000000000e+02,3.795848445032254403e+01,2.605888215953069675e+01,1.746907399116323978e+00,1.543234171183610837e+00
1.620000000000000000e+02,3.793157958127864049e+01,2.621007162973843663e+01,1.752545678911252347e+00,1.535647351443908626e+00
1.630000000000000000e+02,3.790396333751332492e+01,2.636034171776202228e+01,1.758242401877256667e+00,1.527866364389300013e+00
1.640000000000000000e+02,3.787564007995162285e+01,2.650966869421257499e+01,1.763999933551830379e+00,1.519893180943013400e+00
1.650000000000000000e+02,3.784661428116423565e+01,2.665802897862945997e+01,1.769820712945240571e+00,1.511729836561570561e+00
1.660000000000000000e+02,3.781689052466126810e+01,2.680539914320391404e+01,1.775707256202745166e+00,1.503378432310035429e+00
1.670000000000000000e+02,3.778647350416844120e+01,2.695175591647858226e+01,1.781662160433698849e+00,1.494841136008566718e+00
1.680000000000000000e+02,3.775536802288589655e+01,2.709707618702235266e+01,1.787688107716316255e+00,1.486120183455319044e+00
1.690000000000000000e+02,3.772357899272972048e+01,2.724133700707989192e+01,1.793787869287199799e+00,1.477217879730141181e+00
1.700000000000000000e+02,3.769111143355628002e+01,2.738451559619539211e+01,1.799964309924860784e+00,1.468136600585441487e+00
1.710000000000000000e+02,3.765797047236954853e+01,2.752658934480984598e+01,1.806220392537259523e+00,1.458878793928528816e+00
1.720000000000000000e+02,3.762416134251147071e+01,2.766753581783138571e+01,1.812559182962956816e+00,1.449446981402618517e+00
1.730000000000000000e+02,3.758968938283558714e+01,2.780733275817801342e+01,1.818983854996722327e+00,1.439843760071707335e+00
1.740000000000000000e+02,3.755456003686393984e+01,2.794595809029227240e+01,1.825497695649577645e+00,1.430071804217699194e+00
1.750000000000000000e+02,3.751877885192748607e+01,2.808338992362722308e+01,1.832104110654784401e+00,1.420133867255543691e+00
1.760000000000000000e+02,3.748235147829011993e+01,2.821960655610321922e+01,1.838806630229991912e+00,1.410032783775497789e+00
1.770000000000000000e+02,3.744528366825642252e+01,2.835458647753493011e+01,1.845608915107433967e+00,1.399771471719753579e+00
1.780000000000000000e+02,3.740758127526329702e+01,2.848830837302801555e+01,1.852514762842653040e+00,1.389352934702757114e+00
1.790000000000000000e+02,3.736925025295565916e+01,2.862075112634502716e+01,1.859528114413452782e+00,1.378780264485227836e+00
1.800000000000000000e+02,3.733029665424627552e+01,2.875189382323988596e+01,1.866653061119678325e+00,1.368056643610503720e+00
1.810000000000000000e+02,3.729072663035994850e+01,2.888171575476050634e+01,1.873893851794828924e+00,1.357185348215555587e+00
1.820000000000000000e+02,3.725054642986215470e+01,2.901019642051895175e+01,1.881254900339561109e+00,1.346169751026079497e+00
1.830000000000000000e+02,3.720976239767234262e+01,2.913731553192870649e+01,1.888740793586873634e+00,1.335013324550190728e+00
1.840000000000000000e+02,3.716838097406198216e+01,2.926305301540846315e+01,1.896356299507975907e+00,1.323719644480742641e+00
1.850000000000000000e+02,3.712640869363755769e+01,2.938738901555199234e+01,1.904106375766022152e+00,1.312292393322392225e+00
1.860000000000000000e+02,3.708385218430871788e+01,2.951030389826351907e+01,1.911996178624683074e+00,1.300735364255312776e+00
1.870000000000000000e+02,3.704071816624161073e+01,2.963177825385819020e+01,1.920031072215586443e+00,1.289052465253207602e+00
1.880000000000000000e+02,3.699701345079771642e+01,2.975179290012707511e+01,1.928216638166797336e+00,1.277247723469364216e+00
1.890000000000000000e+02,3.695274493945824190e+01,2.987032888536628406e+01,1.936558685592250528e+00,1.265325289909383644e+00
